taxon_id,radius,date,count
50298,20,2022-08-31,53
126756,20,2022-08-31,7
437967,20,2022-08-31,9
716947,20,2022-08-31,11
77914,20,2022-08-31,16
62236,20,2022-08-31,19
163793,20,2022-08-31,1
69613,20,2022-08-31,21
132622,20,2022-08-31,9
77780,20,2022-08-31,20
48196,20,2022-08-31,26
793795,20,2022-08-31,10
82564,20,2022-08-31,37
52669,20,2022-08-31,8
51736,20,2022-08-31,39
82572,20,2022-08-31,2
170239,20,2022-08-31,1
64055,20,2022-08-31,1
85492,20,2022-08-31,3
208852,20,2022-08-31,2
158380,20,2022-08-31,48
55830,20,2022-08-31,65
55969,20,2022-08-31,24
55972,20,2022-08-31,44
165499,20,2022-08-31,2
63802,20,2022-08-31,3
164948,20,2022-08-31,3
125903,20,2022-08-31,4
127029,20,2022-08-31,50
58725,20,2022-08-31,25
78288,20,2022-08-31,15
741459,200,2022-08-31,827
25591,200,2022-08-31,1680
560192,200,2022-08-31,26
56064,200,2022-08-31,1304
69624,200,2022-08-31,2286
321535,200,2022-08-31,160
740984,200,2022-08-31,1597
52821,200,2022-08-31,4075
159763,200,2022-08-31,2308
52720,200,2022-08-31,2652
130039,200,2022-08-31,138
119946,200,2022-08-31,58
909393,200,2022-08-31,135
324093,200,2022-08-31,180
50790,200,2022-08-31,2070
55821,200,2022-08-31,526
159973,200,2022-08-31,683
77120,200,2022-08-31,1131
60284,200,2022-08-31,720
129115,200,2022-08-31,1851
57190,200,2022-08-31,1573
123628,200,2022-08-31,348
75762,200,2022-08-31,1369
198886,200,2022-08-31,630
62207,200,2022-08-31,357
125012,200,2022-08-31,605
56164,200,2022-08-31,579
79514,200,2022-08-31,196
124138,200,2022-08-31,379
132481,200,2022-08-31,564
161763,200,2022-08-31,687
47602,200,2022-08-31,4923
56126,200,2022-08-31,2186
56222,200,2022-08-31,4188
35453,200,2022-08-31,900
855316,200,2022-08-31,190
61454,200,2022-08-31,354
50247,200,2022-08-31,1032
55760,200,2022-08-31,1402
77266,200,2022-08-31,423
124359,200,2022-08-31,702
79460,200,2022-08-31,240
43048,200,2022-08-31,187
556645,200,2022-08-31,268
1092837,200,2022-08-31,204
204167,200,2022-08-31,1446
351629,200,2022-08-31,36
78712,200,2022-08-31,257
